22	20	39	16
64	24	35	17
116	25	78	14
21	63	116	12
143	63	79	8
227	63	25	11
258	59	97	17
361	63	75	8
441	59	74	16
521	60	39	19
565	59	55	16
625	63	25	8
655	59	94	12
755	59	38	19
803	59	95	16
904	59	95	19
1005	63	75	8
21	88	49	12
76	88	180	16
261	88	61	18
328	88	40	18
374	88	38	19
422	89	72	15
499	88	150	18
655	92	133	12
793	88	61	18
860	88	156	18
1025	88	24	21
21	119	80	15
107	119	57	11
169	118	106	18
281	118	61	17
348	122	49	8
403	118	188	15
597	118	95	16
697	118	121	16
828	122	126	11
21	147	160	18
187	147	148	16
341	147	29	12
376	151	84	15
465	147	111	15
581	148	58	11
648	147	170	16
823	147	165	16
997	147	54	15
21	180	95	12
121	180	25	11
152	180	52	11
209	180	78	12
292	180	142	17
440	176	130	16
579	180	126	11
711	176	105	18
821	180	106	14
932	176	114	21
21	205	150	18
177	205	64	18
247	205	69	12
322	205	110	18
438	209	42	8
486	209	50	14
542	205	73	16
620	205	95	19
721	209	25	11
752	209	52	11
809	205	63	18
878	205	137	12
1021	205	37	15
21	236	72	15
98	235	93	17
197	239	25	8
228	235	56	16
289	235	130	16
428	236	29	11
463	239	33	8
502	239	25	11
533	235	48	12
587	236	53	14
21	292	51	11
77	291	154	17
237	292	59	14
302	291	63	18
371	291	78	19
459	291	86	18
551	295	106	11
663	295	52	11
720	291	62	12
788	295	43	12
836	291	109	12
955	291	54	15
21	324	72	15
98	324	99	15
202	320	52	12
260	320	107	18
373	321	43	11
421	320	85	12
512	320	91	15
608	324	134	12
747	324	52	11
805	320	79	12
890	324	33	12
933	324	52	11
21	351	100	11
127	350	130	17
263	350	64	18
333	350	86	14
425	354	61	14
492	350	84	15
582	354	81	11
668	350	108	16
782	354	88	15
875	350	105	19
985	350	70	12
21	379	218	16
245	383	79	12
329	383	38	16
376	379	119	16
501	383	59	11
565	380	57	11
628	379	106	16
740	379	72	18
817	383	60	12
882	379	62	15
954	379	81	21
21	408	163	16
189	408	58	12
257	408	52	16
314	412	103	11
423	408	155	16
583	408	97	17
686	408	145	18
836	408	67	16
908	409	33	11
946	409	35	14
987	408	39	12
21	437	122	16
149	437	52	12
206	437	95	15
306	437	48	18
359	441	76	12
440	441	38	16
487	437	98	16
591	441	72	8
669	437	43	12
718	437	111	15
835	437	109	12
950	441	50	12
1006	437	68	12
21	467	85	11
112	466	106	16
224	466	101	18
330	466	89	15
21	523	139	18
165	523	89	15
260	524	27	11
293	523	150	15
453	523	130	15
589	527	25	8
620	523	108	12
734	523	62	12
801	527	33	8
843	523	36	15
885	527	44	11
935	523	38	15
979	523	91	12
21	556	52	11
78	552	54	16
138	552	168	18
316	552	36	15
358	552	92	16
455	556	46	8
507	556	56	11
568	553	45	11
618	552	71	16
694	552	91	12
791	552	70	12
22	20	39	16
64	24	35	17
116	25	78	14
21	63	116	12
143	63	79	8
227	63	25	11
258	59	97	17
361	63	75	8
441	59	74	16
521	60	39	19
565	59	55	16
625	63	25	8
655	59	94	12
755	59	38	19
803	59	95	16
904	59	95	19
1005	63	75	8
21	88	49	12
76	88	180	16
261	88	61	18
328	88	40	18
374	88	38	19
422	89	72	15
499	88	150	18
655	92	133	12
793	88	61	18
860	88	156	18
1025	88	24	21
21	119	80	15
107	119	57	11
169	118	106	18
281	118	61	17
348	122	49	8
403	118	188	15
597	118	95	16
697	118	121	16
828	122	126	11
21	147	160	18
187	147	148	16
341	147	29	12
376	151	84	15
465	147	111	15
581	148	58	11
648	147	170	16
823	147	165	16
997	147	54	15
21	180	95	12
121	180	25	11
152	180	52	11
209	180	78	12
292	180	142	17
440	176	130	16
579	180	126	11
711	176	105	18
821	180	106	14
932	176	114	21
21	205	150	18
177	205	64	18
247	205	69	12
322	205	110	18
438	209	42	8
486	209	50	14
542	205	73	16
620	205	95	19
721	209	25	11
752	209	52	11
809	205	63	18
878	205	137	12
1021	205	37	15
21	236	72	15
98	235	93	17
197	239	25	8
228	235	56	16
289	235	130	16
428	236	29	11
463	239	33	8
502	239	25	11
533	235	48	12
587	236	53	14
21	292	51	11
77	291	154	17
237	292	59	14
302	291	63	18
371	291	78	19
459	291	86	18
551	295	106	11
663	295	52	11
720	291	62	12
788	295	43	12
836	291	109	12
955	291	54	15
21	324	72	15
98	324	99	15
202	320	52	12
260	320	107	18
373	321	43	11
421	320	85	12
512	320	91	15
608	324	134	12
747	324	52	11
805	320	79	12
890	324	33	12
933	324	52	11
21	351	100	11
127	350	130	17
263	350	64	18
333	350	86	14
425	354	61	14
492	350	84	15
582	354	81	11
668	350	108	16
782	354	88	15
875	350	105	19
985	350	70	12
21	379	218	16
245	383	79	12
329	383	38	16
376	379	119	16
501	383	59	11
565	380	57	11
628	379	106	16
740	379	72	18
817	383	60	12
882	379	62	15
954	379	81	21
21	408	163	16
189	408	58	12
257	408	52	16
314	412	103	11
423	408	155	16
583	408	97	17
686	408	145	18
836	408	67	16
908	409	33	11
946	409	35	14
987	408	39	12
21	437	122	16
149	437	52	12
206	437	95	15
306	437	48	18
359	441	76	12
440	441	38	16
487	437	98	16
591	441	72	8
669	437	43	12
718	437	111	15
835	437	109	12
950	441	50	12
1006	437	68	12
21	467	85	11
112	466	106	16
224	466	101	18
330	466	89	15
21	523	139	18
165	523	89	15
260	524	27	11
293	523	150	15
453	523	130	15
589	527	25	8
620	523	108	12
734	523	62	12
801	527	33	8
843	523	36	15
885	527	44	11
935	523	38	15
979	523	91	12
21	556	52	11
78	552	54	16
138	552	168	18
316	552	36	15
358	552	92	16
455	556	46	8
507	556	56	11
568	553	45	11
618	552	71	16
694	552	91	12
791	552	70	12
