167	181	62	46
270	200	28	27
325	188	611	40
963	198	30	28
171	329	143	39
340	313	1557	75
1921	326	378	60
2324	313	448	54
171	430	298	59
496	416	379	73
902	429	134	53
1063	428	433	61
1524	414	337	80
1889	414	484	73
2399	413	373	55
172	517	583	75
800	516	872	75
1719	529	315	65
2079	529	300	66
2424	515	347	74
172	628	263	44
465	617	388	74
884	616	478	55
1392	615	255	54
1677	628	400	61
2106	615	330	74
2467	628	303	60
866	1254	799	79
1708	1230	377	77
2802	1270	6	7
366	1463	725	76
1120	1477	329	61
1479	1463	269	55
1778	1454	499	63
2307	1460	359	57
364	1588	499	80
913	1582	751	83
1714	1582	524	84
2289	1599	488	61
174	1684	496	69
708	1687	739	76
1486	1687	1092	74
2615	1672	160	69
175	1788	331	54
546	1801	213	60
798	1783	301	58
1140	1787	807	78
1987	1799	790	60
175	1889	252	54
464	1888	442	56
944	1901	304	61
1286	1887	668	81
1992	1887	449	74
2479	1900	298	41
176	1988	771	73
975	1987	884	74
1887	2000	181	60
2098	1984	413	69
2541	1985	236	75
174	2089	435	73
662	2102	133	54
843	2088	640	54
1535	2086	236	71
1821	2085	589	69
2460	2100	314	60
176	2203	659	65
859	2202	337	60
1222	2189	287	52
1533	2188	297	54
1859	2188	187	52
2072	2159	706	102
178	2287	443	74
675	2287	490	54
1218	2301	137	60
1410	2282	467	68
1927	2300	385	53
2364	2286	411	73
179	2387	509	75
739	2387	185	54
976	2401	356	60
1383	2386	637	74
2072	2400	708	60
2876	2425	2	3
175	2487	290	53
499	2481	574	79
1107	2500	252	55
1392	2485	356	74
1786	2485	538	55
2357	2499	418	60
175	2587	470	53
673	2600	880	58
1580	2586	346	78
1954	2585	825	73
112	2711	5	2
177	2687	443	54
648	2685	530	80
367	2810	367	73
758	2823	221	60
1000	2822	282	41
1307	2823	112	52
1442	2805	485	67
1953	2809	157	53
2136	2808	647	54
178	2908	391	75
611	2909	252	54
904	2903	782	78
1727	2906	1055	81
178	3008	599	74
819	3021	155	40
1018	3007	404	74
1465	3006	255	55
1767	3007	323	68
2135	3006	326	75
2506	3006	276	74
178	3121	636	61
839	3107	800	78
1663	3107	609	73
2295	3101	488	69
177	3208	997	75
1233	3208	878	75
2176	3207	601	76
179	3305	439	77
669	3308	384	74
1104	3321	200	50
1353	3307	379	73
1784	3308	467	77
2303	3307	332	73
2685	3320	99	40
179	3407	518	71
724	3406	324	86
1075	3406	806	81
1910	3420	398	66
2338	3401	446	68
179	3521	174	39
380	3502	307	77
715	3505	435	68
1179	3519	222	60
1426	3500	507	78
1959	3505	526	74
2511	3503	274	74
179	3608	173	71
379	3605	771	53
1177	3600	513	73
1717	3603	502	67
2245	3602	541	74
180	3718	186	39
391	3703	404	73
824	3698	488	68
1338	3697	501	72
1865	3715	267	67
2156	3716	295	59
2479	3696	307	79
181	3818	131	59
363	3800	418	76
831	3802	847	78
1728	3802	195	68
1974	3802	429	62
2454	3814	134	59
2638	3813	148	64
182	3916	303	59
544	3901	163	73
760	3900	280	73
1093	3900	678	74
1825	3900	493	73
2370	3899	418	73
182	3999	495	80
714	3999	534	78
1285	4011	598	59
1918	3999	650	72
2607	4010	181	39
182	4094	277	57
487	4111	466	58
981	4095	832	74
1842	4110	410	39
2281	4109	256	53
2565	4108	224	59
183	4193	660	55
896	4191	500	55
1451	4190	1338	76
182	4306	527	65
751	4292	481	73
1277	4291	727	54
2048	4305	279	63
2372	4290	417	78
184	4393	390	77
626	4405	516	56
1197	4391	817	52
2067	4386	720	56
